,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
F52,1114.0,0.37136445242369837,0.4701403185927594,0.0,0.0,0.0,1.0,1.0,0.5319058085231451,-1.6728853433416608
F53,6615.0,0.630727135298564,0.2921798003872639,0.0,0.47,0.6,1.0,1.0,-0.35920176104683504,-0.528112382590832
F54,5896.0,0.6028290366350069,0.30257044453287635,0.0,0.44,0.57,0.9,1.0,-0.3072725775731244,-0.6131260252937696
F55,3389.0,0.6614812629094129,0.30275728374905125,0.0,0.48,0.64,1.0,1.0,-0.4607412256578633,-0.6669125473700124
F56,6615.0,0.6615993953136811,0.31746965034927516,0.0,0.46,0.69,1.0,1.0,-0.6008969807569803,-0.6764374433724121
F57,5896.0,0.6335871777476255,0.33307267956286263,0.0,0.43,0.66,1.0,1.0,-0.5270929172646681,-0.8651472270360965
F58,3389.0,0.6773856594865741,0.31122365653492506,0.0,0.47,0.69,1.0,1.0,-0.5876299620330732,-0.6590016474109532
F59,6742.0,0.6106007119549095,0.209433956833938,0.0,0.49,0.58,0.72,1.0,0.0290458039892401,0.48569498958152657
F60,6142.0,0.5829387821556496,0.2799844876079848,0.0,0.43,0.56,0.78,1.0,-0.23418813769376753,-0.42365592491439363
F61,5759.0,0.6089581524570238,0.19636623783119148,0.0,0.49,0.59,0.71,1.0,0.08884522839345693,0.4390371568159188
F62,6742.0,0.6851364580243252,0.24059006989581996,0.0,0.52,0.68,0.9,1.0,-0.5317382815294781,-0.038723278015321494
F63,6142.0,0.6177645718007164,0.3234079056486663,0.0,0.42,0.64,0.94,1.0,-0.4839342608156546,-0.863982875447276
F64,5759.0,0.6966122590727557,0.23398684705425657,0.0,0.54,0.7,0.91,1.0,-0.570719595207154,-0.05435073486514019
F65,5079.0,0.609289230163418,0.3396489204360661,0.0,0.42,0.58,1.0,1.0,-0.3688344720059821,-0.9473935526148982
F66,4638.0,0.5852069857697283,0.3376311161676723,0.0,0.4,0.55,1.0,1.0,-0.2865325047953073,-0.9449219881977018
F67,1290.0,0.6865503875968993,0.3991396383615752,0.0,0.3525,1.0,1.0,1.0,-0.7894963912570263,-1.0410619315382605
F68,5079.0,0.633175822012207,0.3675425008824045,0.0,0.37,0.69,1.0,1.0,-0.525758952510422,-1.1391800095859081
F69,4638.0,0.6067054764984907,0.3692535878462809,0.0,0.33,0.64,1.0,1.0,-0.4206946482129223,-1.2230595236979147
F70,1290.0,0.698108527131783,0.406078126911671,0.0,0.3525,1.0,1.0,1.0,-0.8635811319208674,-0.9977596934599262
F71,1513.0,0.6312557832121612,0.34614316204744955,0.0,0.42,0.66,1.0,1.0,-0.4778820612793961,-0.9619404625227093
F72,714.0,0.600812324929972,0.38287487263429465,0.0,0.33,0.67,1.0,1.0,-0.40187852121533235,-1.2867048149978586
F73,1178.0,0.6372665534804755,0.34233244424215,0.0,0.43,0.66,1.0,1.0,-0.4845192189422603,-0.9312895856802164
F74,1513.0,0.6508195637805685,0.35964579111500916,0.0,0.42,0.72,1.0,1.0,-0.6018803048871241,-0.9940100690896219
F75,714.0,0.6145378151260505,0.39726501426049077,0.0,0.2625,0.72,1.0,1.0,-0.4773665665900181,-1.3542738751309313
F76,1178.0,0.6594991511035654,0.3537931422595681,0.0,0.43,0.73,1.0,1.0,-0.6302898014079688,-0.928469930480202
F77,348.0,0.615632183908046,0.4213911396357505,0.0,0.0,0.75,1.0,1.0,-0.48438136424301376,-1.452172515460138
F78,348.0,0.6154310344827586,0.4214543071107615,0.0,0.0,0.75,1.0,1.0,-0.48286663277303615,-1.453988225537367
F79,348.0,0.6218965517241379,0.4330601128177513,0.0,0.0,0.92,1.0,1.0,-0.5172232965606338,-1.5143774546280862
F80,348.0,0.621551724137931,0.43311472303667975,0.0,0.0,0.92,1.0,1.0,-0.5146929049473374,-1.5167843540252404
F81,144.0,0.5208333333333334,0.48798930975336585,0.0,0.0,0.67,1.0,1.0,-0.08419124460221922,-1.9670606633826242
F82,144.0,0.5208333333333334,0.48798930975336585,0.0,0.0,0.67,1.0,1.0,-0.08419124460221922,-1.9670606633826242
F83,144.0,0.5190277777777779,0.49194678125447233,0.0,0.0,0.8200000000000001,1.0,1.0,-0.07783683558887673,-1.9854492572598321
F84,144.0,0.5190277777777779,0.49194678125447233,0.0,0.0,0.8200000000000001,1.0,1.0,-0.07783683558887673,-1.9854492572598321
F85,1471.0,0.6241332426920462,0.4340193966357684,0.0,0.0,1.0,1.0,1.0,-0.5136274026532286,-1.5110868569883829
F86,358.0,0.6772625698324023,0.4124413796508292,0.0,0.33,1.0,1.0,1.0,-0.7607545020454514,-1.139088834942579
F87,1220.0,0.6119262295081966,0.4434536815115521,0.0,0.0,1.0,1.0,1.0,-0.4593138393270806,-1.6022324564177797
F88,1471.0,0.6318354860639022,0.4416205809771593,0.0,0.0,1.0,1.0,1.0,-0.5485767908760572,-1.5316352311272283
F89,358.0,0.6844413407821229,0.416814108147911,0.0,0.3125,1.0,1.0,1.0,-0.8043918758572866,-1.1247321039607332
F90,1220.0,0.6185081967213115,0.4509604051946792,0.0,0.0,1.0,1.0,1.0,-0.4898958271149094,-1.623847513443261
F91,1603.0,0.4940112289457268,0.43774754566017837,0.0,0.0,0.5,1.0,1.0,0.029556494618396153,-1.7329371389584536
F92,465.0,0.4984516129032258,0.42798667891695774,0.0,0.0,0.5,1.0,1.0,0.01729040587899088,-1.679317079199649
F93,1248.0,0.4955448717948717,0.45178469005106675,0.0,0.0,0.5,1.0,1.0,0.016144660343944787,-1.8018860194419584
F94,1603.0,0.49484092326887086,0.45735836679517416,0.0,0.0,0.5,1.0,1.0,0.020927197013028396,-1.8472468246578853
F95,465.0,0.4864301075268817,0.44841549096776206,0.0,0.0,0.46,1.0,1.0,0.06866801282969887,-1.815225142491188
F96,1248.0,0.4996474358974359,0.46380218392693323,0.0,0.0,0.5,1.0,1.0,-0.0013269347608187926,-1.8703748352286602
F97,3240.0,0.6187746913580247,0.3966401947939445,0.0,0.33,0.67,1.0,1.0,-0.42315741731185574,-1.3676786270459194
F98,1962.0,0.6001630988786952,0.4030448540984952,0.0,0.3,0.6,1.0,1.0,-0.34336397960208087,-1.4522568044865676
F99,1851.0,0.6620583468395462,0.41418722604086633,0.0,0.33,1.0,1.0,1.0,-0.6491657581119495,-1.279565512152846
F100,3240.0,0.6342808641975309,0.4069322593083727,0.0,0.27,0.83,1.0,1.0,-0.5236991486776119,-1.3773724972027948
F101,1962.0,0.6132364933741081,0.40987376837332234,0.0,0.24,0.73,1.0,1.0,-0.42953896652681695,-1.455282220117749
F102,1851.0,0.6679524581307402,0.4202629420270738,0.0,0.245,1.0,1.0,1.0,-0.6966573446141221,-1.277483916276486
F103,1231.0,0.41705117790414303,0.37942767745558986,0.0,0.0,0.37,0.705,1.0,0.40504575662249703,-1.253007913431243
F104,874.0,0.3844279176201373,0.4205142817089603,0.0,0.0,0.22,1.0,1.0,0.5070791659543582,-1.4473136457388636
F105,964.0,0.4779668049792531,0.37896839660573056,0.0,0.0775,0.43,1.0,1.0,0.17562285993576573,-1.3671525097532622
F106,1231.0,0.42154346060113723,0.402717665656216,0.0,0.0,0.33,0.91,1.0,0.3526535713819559,-1.4954829204220008
F107,874.0,0.3907437070938215,0.43174811367968574,0.0,0.0,0.18,1.0,1.0,0.4640193780360271,-1.560468377151882
F108,964.0,0.48520746887966804,0.40035687416840776,0.0,0.0075,0.45,1.0,1.0,0.1011380855300189,-1.5718251744883418
F109,9030.0,0.6024008859357697,0.22138588962895517,0.0,0.45,0.53,0.73,1.0,0.6238407632758382,-0.5397289838865373
F110,8844.0,0.5939484396200814,0.241485779525516,0.0,0.43,0.53,0.75,1.0,0.3236339612340621,-0.45744859147073047
F111,8791.0,0.5967023091798431,0.22631823415427232,0.0,0.44,0.53,0.73,1.0,0.5639313410538839,-0.5221955940593457
F112,9030.0,0.688905869324474,0.24426526789016795,0.0,0.49,0.67,0.95,1.0,-0.1736890567017794,-1.0499475845007396
F113,8844.0,0.6733808231569426,0.2694367606197563,0.0,0.48,0.67,0.96,1.0,-0.40429679790457207,-0.6573589684544143
F114,8791.0,0.6808451825730861,0.24800983050846498,0.0,0.48,0.66,0.95,1.0,-0.180262289842498,-0.9770219516725227
F115,8724.0,0.591723979825768,0.21750586434684668,0.0,0.45,0.53,0.7,1.0,0.6496342661387547,-0.3124168209003537
F116,8301.0,0.5687820744488616,0.2354844242598592,0.0,0.43,0.51,0.69,1.0,0.31045453007083096,-0.06737449803151252
F117,8447.0,0.5885923996685214,0.22166548334434505,0.0,0.44,0.53,0.71,1.0,0.5973142508242575,-0.35685071008027247
F118,8724.0,0.6755421824850986,0.24261749866100438,0.0,0.48,0.65,0.93,1.0,-0.14030716502101004,-0.9413392155963973
F119,8301.0,0.6436911215516203,0.27131640357278375,0.0,0.46,0.63,0.91,1.0,-0.34704707489313413,-0.5841257209697157
F120,8447.0,0.6690245057416835,0.24463680375269145,0.0,0.48,0.64,0.92,1.0,-0.13098216913034047,-0.9186219728831495
F121,8724.0,0.591723979825768,0.21750586434684668,0.0,0.45,0.53,0.7,1.0,0.6496342661387547,-0.3124168209003537
F122,8301.0,0.5687820744488616,0.2354844242598592,0.0,0.43,0.51,0.69,1.0,0.31045453007083096,-0.06737449803151252
F123,8447.0,0.5885923996685214,0.22166548334434505,0.0,0.44,0.53,0.71,1.0,0.5973142508242575,-0.35685071008027247
F124,8724.0,0.6755421824850986,0.24261749866100438,0.0,0.48,0.65,0.93,1.0,-0.14030716502101004,-0.9413392155963973
F125,8301.0,0.6436911215516203,0.27131640357278375,0.0,0.46,0.63,0.91,1.0,-0.34704707489313413,-0.5841257209697157
F126,8447.0,0.6690245057416835,0.24463680375269145,0.0,0.48,0.64,0.92,1.0,-0.13098216913034047,-0.9186219728831495
F127,1809.0,0.5389165284687673,0.3946048463110782,0.0,0.1,0.5,1.0,1.0,-0.13539593493810098,-1.479321727114892
F128,0.0,,,,,,,,,
F129,1809.0,0.5389165284687673,0.3946048463110782,0.0,0.1,0.5,1.0,1.0,-0.13539593493810098,-1.479321727114892
F130,1809.0,0.5452791597567718,0.40601293901872265,0.0,0.02,0.55,1.0,1.0,-0.1714501433672136,-1.567002843144773
F131,0.0,,,,,,,,,
F132,1809.0,0.5452791597567718,0.40601293901872265,0.0,0.02,0.55,1.0,1.0,-0.1714501433672136,-1.567002843144773
F133,2097.0,0.5544778254649498,0.45266495307438376,0.0,0.0,0.64,1.0,1.0,-0.20815772808652167,-1.7683960870902897
F134,23.0,0.5756521739130435,0.4615273663407436,0.0,0.0,0.67,1.0,1.0,-0.34925794376101094,-1.8293397378113616
F135,2093.0,0.5543860487338748,0.45276257188225016,0.0,0.0,0.64,1.0,1.0,-0.20758287454746396,-1.768873573088987
F136,2097.0,0.5569766332856462,0.46436457849721535,0.0,0.0,0.76,1.0,1.0,-0.2322401050933108,-1.8261861324158033
F137,23.0,0.5965217391304349,0.4675235404442916,0.0,0.0,0.87,1.0,1.0,-0.46539242543535775,-1.8136331585637713
F138,2093.0,0.5570855231724797,0.46453281579039496,0.0,0.0,0.76,1.0,1.0,-0.23177176796587948,-1.8270235971753142
F139,1886.0,0.6109862142099682,0.41241629044792505,0.0,0.23,0.67,1.0,1.0,-0.41580341604775933,-1.470909363337514
F140,82.0,0.625,0.37953594146562397,0.0,0.33,0.61,1.0,1.0,-0.41414956819268517,-1.2650559873975962
F141,1818.0,0.6106325632563256,0.41453860178248714,0.0,0.2,0.67,1.0,1.0,-0.41670607290280254,-1.4825297758282117
F142,1886.0,0.6174178154825025,0.4232710344137511,0.0,0.0825,0.835,1.0,1.0,-0.4674393628382695,-1.507328035868636
F143,82.0,0.6319512195121952,0.39354494942854573,0.0,0.36,0.71,1.0,1.0,-0.5053400910655119,-1.308657794359175
F144,1818.0,0.6154840484048405,0.42503133623826134,0.0,0.06,0.83,1.0,1.0,-0.46004239442261585,-1.5223268028277785
F145,3396.0,0.28628680800942286,0.42477760850356566,0.0,0.0,0.0,0.605,1.0,0.9457677942174807,-0.953883270516656
F146,111.0,0.44756756756756755,0.4515674040418777,0.0,0.0,0.33,1.0,1.0,0.2055026379152146,-1.7927144423419834
F147,3350.0,0.28323582089552235,0.42513030819901054,0.0,0.0,0.0,0.6,1.0,0.9631583421826496,-0.9284799911229875
F148,3396.0,0.29769434628975266,0.44419470804403954,0.0,0.0,0.0,0.98,1.0,0.8757559118097646,-1.1807479745809504
F149,111.0,0.43765765765765763,0.4595985500312498,0.0,0.0,0.2,1.0,1.0,0.2477379124772792,-1.8259600518788672
F150,3350.0,0.29463582089552237,0.4441372530900897,0.0,0.0,0.0,0.98,1.0,0.8919964795437451,-1.1571749390522055
F151,7016.0,0.5922876282782211,0.2853665993384311,0.0,0.41,0.53,0.85,1.0,-0.03761381022106217,-0.7046746498022802
F152,6406.0,0.5657852013737121,0.2908494653005019,0.0,0.4,0.5,0.79,1.0,-0.027714427352251894,-0.6408082721215673
F153,3626.0,0.6179067843353557,0.3097282512998619,0.0,0.41,0.56,1.0,1.0,-0.1718837252546885,-0.9667340987599129
F154,7016.0,0.6375612884834664,0.3095261072487433,0.0,0.43,0.63,0.99,1.0,-0.3980077309714906,-0.8469177343937377
F155,6406.0,0.6110334061817047,0.3221223914998065,0.0,0.4,0.61,0.96,1.0,-0.36119608320330443,-0.9366850216790903
F156,3626.0,0.6392829564258136,0.3180230031527028,0.0,0.42,0.61,1.0,1.0,-0.34685128802805903,-0.9593056582585886
F157,6929.0,0.5566286621446096,0.22289276435886404,0.0,0.43,0.51,0.65,1.0,0.34536782327736165,0.3353835025245755
F158,6563.0,0.5430565290263599,0.26788249493445615,0.0,0.4,0.5,0.69,1.0,0.06550327948078985,-0.3512175475468915
F159,5816.0,0.553404401650619,0.19919441923593342,0.0,0.43,0.52,0.64,1.0,0.5834392265883496,0.5601391566759939
F160,6929.0,0.6295713667195842,0.25343079729652845,0.0,0.46,0.61,0.85,1.0,-0.25506579841892046,-0.42113817201582027
F161,6563.0,0.579844583269846,0.3118485264114823,0.0,0.38,0.57,0.87,1.0,-0.2571842453779441,-0.9283743832211875
F162,5816.0,0.639742090784044,0.2376003614300849,0.0,0.47,0.62,0.84,1.0,-0.1875719620503178,-0.513851729908827
F163,5701.0,0.5834344851780389,0.3265644002418217,0.0,0.38,0.5,1.0,1.0,-0.1534420320098465,-0.9907154538403247
F164,5289.0,0.5607128001512572,0.3238512260757314,0.0,0.38,0.5,0.94,1.0,-0.083587485013691,-0.9304778652448862
F165,1565.0,0.63629392971246,0.3952566461976114,0.0,0.33,0.75,1.0,1.0,-0.5087737967446462,-1.3229313276538888
F166,5701.0,0.6198017891597966,0.3541802187760307,0.0,0.37,0.64,1.0,1.0,-0.4170363765759675,-1.1543220226915254
F167,5289.0,0.5956532425789374,0.35640152059410046,0.0,0.34,0.6,1.0,1.0,-0.33069270039375165,-1.209535009904894
F168,1565.0,0.6558849840255592,0.4039766358500693,0.0,0.3,0.93,1.0,1.0,-0.6356820249403754,-1.2686541218127505
F169,1723.0,0.5975972141613464,0.34083508539965346,0.0,0.36,0.57,1.0,1.0,-0.28364221130030504,-1.083016730974848
F170,887.0,0.5632468996617813,0.3764543640093528,0.0,0.25,0.55,1.0,1.0,-0.21000988700225218,-1.3519455928344788
F171,1322.0,0.6030635400907716,0.3367081285961245,0.0,0.36,0.59,1.0,1.0,-0.2801765675981645,-1.0789559563234432
F172,1723.0,0.6224840394660476,0.35922161325293367,0.0,0.36,0.66,1.0,1.0,-0.44696613482111786,-1.1699200204628526
F173,887.0,0.5753438556933484,0.39405410091950893,0.0,0.185,0.62,1.0,1.0,-0.2925205845360801,-1.467125588935628
F174,1322.0,0.6296671709531013,0.35456731588690676,0.0,0.37,0.67,1.0,1.0,-0.47134239393510236,-1.1218570377468975
F175,480.0,0.5449583333333333,0.41558872185631845,0.0,0.0,0.5,1.0,1.0,-0.1554904319360948,-1.6078696100590093
F176,6.0,0.8333333333333334,0.408248290463863,0.0,1.0,1.0,1.0,1.0,-2.4494897427831783,6.0000000000000036
F177,480.0,0.5443749999999999,0.41574846985634406,0.0,0.0,0.5,1.0,1.0,-0.1514605921840437,-1.610721203103208
F178,480.0,0.5507708333333333,0.43092563088808933,0.0,0.0,0.61,1.0,1.0,-0.18988731145850093,-1.7077552454758513
F179,6.0,0.8333333333333334,0.408248290463863,0.0,1.0,1.0,1.0,1.0,-2.4494897427831783,6.0000000000000036
F180,480.0,0.5505208333333333,0.43103741873535156,0.0,0.0,0.61,1.0,1.0,-0.18885852756324337,-1.7084413727267362
F181,1.0,0.45,,0.45,0.45,0.45,0.45,0.45,,
F182,0.0,,,,,,,,,
F183,1.0,0.45,,0.45,0.45,0.45,0.45,0.45,,
F184,1.0,0.49,,0.49,0.49,0.49,0.49,0.49,,
F185,0.0,,,,,,,,,
F186,1.0,0.49,,0.49,0.49,0.49,0.49,0.49,,
F187,311.0,0.39707395498392284,0.4566979565810158,0.0,0.0,0.0,1.0,1.0,0.42312908320356973,-1.6752658123214732
F188,311.0,0.39707395498392284,0.4566979565810158,0.0,0.0,0.0,1.0,1.0,0.42312908320356973,-1.6752658123214732
F189,0.0,,,,,,,,,
F190,311.0,0.39881028938906754,0.46152083728540977,0.0,0.0,0.0,1.0,1.0,0.4158940246248338,-1.7069409259090507
F191,311.0,0.39881028938906754,0.46152083728540977,0.0,0.0,0.0,1.0,1.0,0.4158940246248338,-1.7069409259090507
F192,0.0,,,,,,,,,
F193,1999.0,0.6076788394197099,0.4284923810618828,0.0,0.0,0.8,1.0,1.0,-0.4285803062235578,-1.5502224312255368
F194,450.0,0.6854,0.4080126695705255,0.0,0.33,1.0,1.0,1.0,-0.787007844710083,-1.0871521732485354
F195,1713.0,0.5852539404553415,0.436004395914711,0.0,0.0,0.71,1.0,1.0,-0.33220690366490285,-1.6483760723736371
F196,1999.0,0.6148424212106054,0.44177463429768066,0.0,0.0,0.96,1.0,1.0,-0.4680683532935268,-1.6035262757680773
F197,450.0,0.6987333333333333,0.4124827809053729,0.0,0.3525,1.0,1.0,1.0,-0.8730388529552309,-1.0065128214064654
F198,1713.0,0.5892761237594863,0.4497290866711315,0.0,0.0,0.91,1.0,1.0,-0.35661531593086915,-1.7136341779220619
F199,2399.0,0.4805919132972072,0.41257574909574773,0.0,0.0,0.5,1.0,1.0,0.09519631870579705,-1.5865117559388715
F200,736.0,0.42563858695652174,0.4003629303589677,0.0,0.0,0.4,1.0,1.0,0.32798128001342997,-1.42101848762013
F201,1919.0,0.49591974986972387,0.4278561341788539,0.0,0.0,0.5,1.0,1.0,0.02214143771234178,-1.6811322288081891
F202,2399.0,0.4873905794080867,0.442759027830294,0.0,0.0,0.49,1.0,1.0,0.04986964095874365,-1.7931708112695017
F203,736.0,0.42436141304347824,0.4306200242177787,0.0,0.0,0.24,1.0,1.0,0.32187016530508616,-1.6613023304594243
F204,1919.0,0.5030640958832726,0.4491738350063712,0.0,0.0,0.5,1.0,1.0,-0.014790311166594518,-1.8176673208212644
F205,3240.0,0.4426728395061729,0.42420848809735373,0.0,0.0,0.33,1.0,1.0,0.31466617638841193,-1.6002522994422528
F206,1962.0,0.4137054026503568,0.4262712407491472,0.0,0.0,0.25,1.0,1.0,0.44985007223919404,-1.533887108282602
F207,1851.0,0.5025931928687196,0.4563854183627896,0.0,0.0,0.5,1.0,1.0,0.026747441413213023,-1.8267607209044752
F208,3240.0,0.4634259259259259,0.440851841860527,0.0,0.0,0.32,1.0,1.0,0.20377374745272048,-1.7498130191672359
F209,1962.0,0.4259683995922528,0.435979504709404,0.0,0.0,0.25,1.0,1.0,0.3723544830096533,-1.6482134007208433
F210,1851.0,0.5083522420313343,0.4625881796658797,0.0,0.0,0.5,1.0,1.0,-0.0112571790136147,-1.864035166330113
F211,1231.0,0.21709179528838343,0.32359588949313867,0.0,0.0,0.0,0.3,1.0,1.534176851967473,1.0754060888081742
F212,874.0,0.1890045766590389,0.33980729324516284,0.0,0.0,0.0,0.25,1.0,1.6519590145764673,1.1772551837767318
F213,964.0,0.2564522821576764,0.3449644688085615,0.0,0.0,0.11,0.33,1.0,1.2864512336611416,0.26438687955283235
F214,1231.0,0.22186027619821286,0.3447304118933392,0.0,0.0,0.0,0.32,1.0,1.425145723528836,0.507151946754218
F215,874.0,0.1933066361556064,0.35161669458387773,0.0,0.0,0.0,0.1875,1.0,1.5814748567919532,0.832907441925439
F216,964.0,0.2662966804979254,0.36577245698673344,0.0,0.0,0.04,0.44,1.0,1.1508466765392436,-0.2447030618528352
F217,9023.0,0.4143821345450516,0.2680367654781363,0.0,0.24,0.31,0.5,1.0,1.2288609815307985,0.27160308499254926
F218,8837.0,0.39639923050809106,0.28113292261932826,0.0,0.21,0.3,0.5,1.0,1.098597301589905,0.1835447027763415
F219,8785.0,0.41212293682413204,0.2727158215268161,0.0,0.23,0.31,0.5,1.0,1.1883218181473616,0.21324508377200502
